query,before_retrieved_sources,after_retrieved_sources,changed
what is Machine learning,"[1, 3, 0]","[11, 11, 10]",True
what is Supervised learning,"[1, 0, 0]","[1, 11, 0]",True
what is Dimensionality reduction,"[1, 1, 1]","[1, 1, 0]",True
what is test and validation sets,"[1, 2, 2]","[1, 2, 2]",False
what is Artificial intelligence,"[1, 3, 0]","[1, 10, 3]",True
what is neural network,"[1, 4, 4]","[4, 1, 4]",False
what is deep learning,"[1, 5, 3]","[11, 11, 1]",True
what is Data mining,"[1, 3, 6]","[1, 12, 12]",True
what is artificial neuron,"[1, 7, 7]","[7, 1, 7]",False
